Status;Name;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
D_Projekt in Planung;Fürstenfeldbruck-Nord;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;GeoFwFreising;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Neufahrn-Eching;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Wolfratshausen;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Traunreut / Waging am See ;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Dachau-Nord;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Graben ""Lechfeld""";Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Traunstein;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;http://www.geothermie-traunstein.de/;;;;;
D_Projekt in Planung;Trostberg;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;;;;;;
D_Projekt in Planung;Erdwärme Vaterstetten;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ammersee-West;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Augsburg-Ost;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Aschau am Inn;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte;Seismik Giga-M;Bayern;Forschung;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Erdwärme Rosenheim;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Erdwärme Feldkirchen-Westerham;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Graming;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Würzburg;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Stadtwärme Neu-Ulm;Bayern;Geschlossenes tiefengeothermisches System;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nürnberg;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Campus Berlin-Buch;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Berlin;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Brand;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Oranienburg;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
