Status;Name;Koordinaten;Koordinaten Quelle;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos
D_Projekt in Planung;"""Altwarmbüchener Moor""";52.42738273502441, 9.893252782854162;;Niedersachsen;Hydrogeothermie;;;;;;;;; 15.11.2022 bis 14.11.2025;;;;;;;Nord.Becken;;NDEWG GmbH Fiskediek 7a 49809 Lingen (Ems);
D_Projekt in Planung;Bad Fallingbostel;52.863515866374144, 9.695822969070726;;Niedersachsen;Niedersachsen;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Barnstorf;52.7050274067317, 8.504699625922768;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bentheimer Wald;52.31746797270104, 7.18581568894619;;Niedersachsen;Hydrogeothermie;;;;;;;;;14.06.2027.;;;;;;;;;;
D_Projekt in Planung;Bissendorf;52.49530012213466, 9.674800512868208;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Borkum;53.58177902984293, 6.663389159218392;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Braunschweig V;52.267331549145354, 10.523076226129794;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Garbsen;52.42702492320163, 9.598757900805719;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Göttingen;51.55281238856508, 9.987586968799993;;Niedersachsen;Niedersachsen;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Hannover-Buchholz;52.405053, 9.828652;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Horstberg (neu);52.92726525447614, 10.31869745992935;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Bad Bevensen ""Ilmenau I""";53.072732, 10.581926;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Kleefeld I""";52.40693785441795, 9.755866001933198;;Niedersachsen;Niedersachsen;;;;;;;;;30.11.2024;;;;;;;Nord.Becken;;Eavor GmbH;
D_Projekt in Planung;Kronsberg;52.334263224509925, 9.848257023391437;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lüneburg;53.24731862028142, 10.416274214800374;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Mühlenhofsweg;53.168570, 8.233994;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nordharz;51.906197, 10.513350;;Niedersachsen;Niedersachsen;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nordhorn;52.42547546395112, 7.237632044882254;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Poggenpohl""";52.94293284233058, 8.343183436073707;;Niedersachsen;Hydrogeothermie;;;;;;;;;31.01.2025.;;;;;;;;;;
D_Projekt in Planung;Soltau;52.98257382299324, 9.842887028159513;;Niedersachsen;Hydrogeothermie;;;;;;;;;30.11.2024;;;;;;kommunal;Nord.Becken;;"Stadtwerke Soltau GmbH & Co. KG
Weinberg 46
29614 Soltau";
D_Projekt in Planung;Uelzen I;52.96741962692176, 10.563586958275387;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;kommunal;Nord.Becken;;"Stadtwerke Uelzen GmbH
Im Neuen Felde 105
29525 Uelzen";
D_Projekt in Planung;Weyhe;52.9835928966011, 8.850545500093414;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Wolfsburger Revier""";52.4230936673154, 10.786121116346246;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Munster-Bispingen;52.98640066846064, 10.089694660701054;;Niedersachsen;Hydrogeothermie;;;;5;;;;2025;;;;;;;;Nord.Becken;;;
A_Projekt in Betrieb;Essen;51.461315, 7.016736;;Nordrhein-Westfalen;Grubenwasser;0,8;;35;1200;bis 300;;;2010;;Wärme;;-;;;;;;;
A_Projekt in Betrieb;Arnsberg;51.431306202705876, 8.003896188222733;geotis;Nordrhein-Westfalen;Sonde;0,35;;90;2.835;20;2,1;;2012;;Wärme;Tiefe Erdwärmesonde;"Gebäudeheizung vom Freibad ""Nass""";;Sandstein;kommunal;;;;
A_Projekt in Betrieb;Bochum Werne / Zeche Robert Müser;51.48659342746747, 7.299821269358382;geotis;Nordrhein-Westfalen;Grubenwasser;0,4;;20;570;32;1,2;;2012;;Wärme;Grubenwasser;Gebäudeheizung von Feuerwehr und 2 Schulen mit Hilfe von BHKW und WP -> Nahwärme?;;;kommunal;;;;
A_Projekt in Betrieb;Marl;51.665782, 7.131589;;Nordrhein-Westfalen;Sonde;0,06;;21;700;;;;2010;;Wärme;;-;;;;;https://norddeutsche-geothermietagung.de/vortraege/2022/11_lohmar_potenzial_geothermische_nachnutzung_sigmundshall.pdf;;"Zeche Auguste
Victoria
"
B_Projekt in Bau;Bochum (Stadtwerke Bochum) ;51.468190, 7.269939;;Nordrhein-Westfalen;Grubenwasser;;;;;;;;;27.08.2022 bis 26.08.2027;;;;;;;;;Stadtwerke Bochum Holding GmbH;
B_Projekt in Bau;Krefeld;51.34139015556271, 6.536367033083359;;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.krefeld.de/de/inhalt/geologischer-dienst-plant-forschungsbohrung-in-krefeld/;;
D_Projekt in Planung;"""Geothermie-Aachen""";50.7771, 6.0851;https://www.geothermie.nrw.de/tief;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;21.04.2023-20.04.2028;;;;;;;;;;
D_Projekt in Planung;Aachen - GEObservatorium;50.766245, 6.179830;;Nordrhein-Westfalen;Forschung;;;;;;;;;18.07.2022 bis 17.07.2027;;;;;;;;;GEObservatorium Aachen, RWTH AACHEN UNIVERSITY;
D_Projekt in Planung;Aachen (Kreuz Aachen);50.804479, 6.170460;;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;23.06.2022 bis 22.06.2025;;;;;;;;;Stadtwerke Aachen Aktiengesellschaft in Aachen;
D_Projekt in Planung;Aachen-Weisweiler;50.828488845357484, 6.324635686424948;;Nordrhein-Westfalen;Forschung;;;;;;;;;25.08.2020-24.08.2025;;;;;;;;;;
D_Projekt in Planung;Bochum (Fraunhofer IEG);51.446259, 7.273505;;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;22.03.2012 bis 21.03.2025;;;;;;;;;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.;
D_Projekt in Planung;Duisburg;51.43712636153094, 6.768430344532964;;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;06.08.2022 bis 05.08.2025;;;;;;;;;Stadtwerke Duisburg Aktiengesellschaft;
D_Projekt in Planung;Düsseldorf;51.237132, 6.782666;;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;02.07.2022 bis 01.07.2025;;;;;;;;https://www.duesseldorf.de/umweltamt/umwelt-und-verbraucherthemen-von-a-z/tiefengeothermie.html;Stadtwerke Düsseldorf AG;
D_Projekt in Planung;Gelderland-Süd;51.435852, 6.269659;;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
